Section_code,Division_code,Group_code,Class_code,Item_code,,,,,,Section_name,Division_name,Group_name,Class_name,Item_name
SECTION B,09,090,0900,09001,1,1,1,,,MINING AND QUARRYING,"SERVICE ACTIVITIES INCIDENTAL TO OIL AND GAS EXTRACTION (EXCLUDING SURVEYING AND ENGINEERING DESIGN AND CONSULTANCY SERVICES SUPPORTING MINING, OIL AND GAS EXTRACTION AND OFFSHORE EXPLORATION ACTIVITIES)","SERVICE ACTIVITIES INCIDENTAL TO OIL AND GAS EXTRACTION (EXCLUDING SURVEYING AND ENGINEERING DESIGN AND CONSULTANCY SERVICES SUPPORTING MINING, OIL AND GAS EXTRACTION AND OFFSHORE EXPLORATION ACTIVITIES)","Service Activities Incidental to Oil and Gas Extraction (excluding Surveying and Engineering Design and Consultancy Services Supporting Mining, Oil and Gas Extraction and Offshore Exploration Activities)",Crude petroleum and natural gas production
SECTION B,09,090,0900,09002,1,1,1,,,MINING AND QUARRYING,"SERVICE ACTIVITIES INCIDENTAL TO OIL AND GAS EXTRACTION (EXCLUDING SURVEYING AND ENGINEERING DESIGN AND CONSULTANCY SERVICES SUPPORTING MINING, OIL AND GAS EXTRACTION AND OFFSHORE EXPLORATION ACTIVITIES)","SERVICE ACTIVITIES INCIDENTAL TO OIL AND GAS EXTRACTION (EXCLUDING SURVEYING AND ENGINEERING DESIGN AND CONSULTANCY SERVICES SUPPORTING MINING, OIL AND GAS EXTRACTION AND OFFSHORE EXPLORATION ACTIVITIES)","Service Activities Incidental to Oil and Gas Extraction (excluding Surveying and Engineering Design and Consultancy Services Supporting Mining, Oil and Gas Extraction and Offshore Exploration Activities)","Service activities incidental to oil and gas extraction (excluding surveying and engineering design and consultancy services supporting mining, oil and gas extraction and offshore exploration activities)"
SECTION C,10,101,1010,10101,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,PROCESSING AND PRESERVING OF MEAT,Processing and Preserving of Meat,Slaughtering of livestock
SECTION C,10,101,1010,10102,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,PROCESSING AND PRESERVING OF MEAT,Processing and Preserving of Meat,Slaughtering of poultry
SECTION C,10,101,1010,10103,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,PROCESSING AND PRESERVING OF MEAT,Processing and Preserving of Meat,Manufacture of sausage
SECTION C,10,101,1010,10104,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,PROCESSING AND PRESERVING OF MEAT,Processing and Preserving of Meat,"Preparing, canning and preserving of livestock and livestock products (including lard and other edible animal fats)"
SECTION C,10,101,1010,10105,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,PROCESSING AND PRESERVING OF MEAT,Processing and Preserving of Meat,"Preparing, canning and preserving of poultry and poultry products"
SECTION C,10,101,1010,10109,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,PROCESSING AND PRESERVING OF MEAT,Processing and Preserving of Meat,Processing and preserving of meat and meat products n.e.c.
SECTION C,10,102,1020,10201,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,"PROCESSING AND PRESERVING OF FISH, CRUSTACEANS AND MOLLUSCS","Processing and Preserving of Fish, Crustaceans and Molluscs",Canning of fish and other seafood
SECTION C,10,102,1020,10202,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,"PROCESSING AND PRESERVING OF FISH, CRUSTACEANS AND MOLLUSCS","Processing and Preserving of Fish, Crustaceans and Molluscs","Processing, curing and preserving (other than canning) of fish and other seafood"
SECTION C,10,103,1030,10301,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,PROCESSING AND PRESERVING OF FRUITS AND VEGETABLES,Processing and Preserving of Fruits and Vegetables,Manufacture of jams (including fruit jelly)
SECTION C,10,103,1030,10302,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,PROCESSING AND PRESERVING OF FRUITS AND VEGETABLES,Processing and Preserving of Fruits and Vegetables,Other canning and preserving of fruits and fruit juices
SECTION C,10,103,1030,10303,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,PROCESSING AND PRESERVING OF FRUITS AND VEGETABLES,Processing and Preserving of Fruits and Vegetables,Other canning and preserving of vegetables and vegetable juices (including pickles)
SECTION C,10,104,1040,10401,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF VEGETABLE AND ANIMAL OILS AND FATS,Manufacture of Vegetable and Animal Oils and Fats,Manufacture of crude coconut oil and palm oil
SECTION C,10,104,1040,10402,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF VEGETABLE AND ANIMAL OILS AND FATS,Manufacture of Vegetable and Animal Oils and Fats,Manufacture of refined coconut oil and palm oil
SECTION C,10,104,1040,10403,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF VEGETABLE AND ANIMAL OILS AND FATS,Manufacture of Vegetable and Animal Oils and Fats,Manufacture of margarine and other edible oils
SECTION C,10,104,1040,10404,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF VEGETABLE AND ANIMAL OILS AND FATS,Manufacture of Vegetable and Animal Oils and Fats,Manufacture of inedible oils and fats
SECTION C,10,104,1040,10409,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF VEGETABLE AND ANIMAL OILS AND FATS,Manufacture of Vegetable and Animal Oils and Fats,Manufacture of vegetable and animal oils and fats n.e.c.
SECTION C,10,105,1050,10501,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF DAIRY PRODUCTS,Manufacture of Dairy Products,Manufacture of condensed and evaporated milk (including pasteurising and bottling of fluid milk)
SECTION C,10,105,1050,10502,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF DAIRY PRODUCTS,Manufacture of Dairy Products,Manufacture of milk powder
SECTION C,10,105,1050,10503,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF DAIRY PRODUCTS,Manufacture of Dairy Products,Manufacture of ice-cream
SECTION C,10,105,1050,10509,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF DAIRY PRODUCTS,Manufacture of Dairy Products,"Manufacture of dairy products n.e.c. (e.g. butter, cheese, ice-cream mixes and powder, yoghurt)"
SECTION C,10,106,1061,10611,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,"MANUFACTURE OF GRAIN MILL PRODUCTS, STARCHES AND STARCH PRODUCTS",Manufacture of Grain Mill Products,Rice milling
SECTION C,10,106,1061,10612,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,"MANUFACTURE OF GRAIN MILL PRODUCTS, STARCHES AND STARCH PRODUCTS",Manufacture of Grain Mill Products,Wheat milling
